Name,Latitude,Longitude
Point 1,32.175914,9.739065
Point 2,32.165406,9.753771
Point 3,32.180092,9.783033
Point 4,32.173247,9.854138
Point 5,32.272736,10.020814
Point 6,32.299483,10.111338
Point 7,32.376913,10.206623
Point 8,32.419367,10.22944
Point 9,32.457221,10.269404
Point 10,32.457221,10.269404
Point 11,32.459854,10.272181
Point 12,32.459854,10.272181
Point 13,32.4616,10.274048
Point 14,32.4616,10.274048
Point 15,32.463003,10.275574
Point 16,32.463003,10.275574
Point 17,32.463335,10.275949
Point 18,32.463335,10.275949
Point 19,32.463687,10.276288
Point 20,32.463687,10.276288
Point 21,32.464605,10.277303
Point 22,32.464605,10.277303
Point 23,32.478292,10.290914
Point 24,32.503663,10.305525
Point 25,32.50989,10.311218
Point 26,32.540155,10.361945
Point 27,32.554175,10.376378
Point 28,32.556717,10.380631
Point 29,32.562847,10.396747
Point 30,32.554002,10.400035
Point 31,32.554002,10.400035
Point 32,32.562847,10.396747
Point 33,32.571773,10.420896
Point 34,32.571996,10.424141
Point 35,32.571996,10.424141
Point 36,32.571529,10.426307
Point 37,32.571046,10.427621
Point 38,32.570453,10.428935
Point 39,32.569925,10.42972
Point 40,32.569925,10.42972
Point 41,32.567886,10.432358
Point 42,32.550536,10.453208
Point 43,32.550536,10.453208
Point 44,32.549199,10.454659
Point 45,32.549199,10.454659
Point 46,32.547987,10.455973
Point 47,32.547987,10.455973
Point 48,32.546522,10.457375
Point 49,32.545218,10.458456
Point 50,32.545052,10.459136
Point 51,32.545052,10.459136
Point 52,32.544854,10.458783
Point 53,32.544218,10.459295
Point 54,32.544218,10.459295
Point 55,32.543566,10.459172
Point 56,32.542986,10.458947
Point 57,32.542986,10.458947
Point 58,32.542635,10.458841
Point 59,32.542398,10.458968
Point 60,32.542398,10.458968
Point 61,32.542034,10.459163
Point 62,32.542034,10.459163
Point 63,32.541831,10.459099
Point 64,32.541313,10.458714
Point 65,32.540682,10.458396
Point 66,32.540116,10.457966
Point 67,32.540116,10.457966
Point 68,32.540085,10.457887
Point 69,32.540085,10.457887
Point 70,32.539052,10.458229
